source,target,value
Enable Punctuality and Resilience,B072-CTA Surface Access Phase 2, 4
Enable Punctuality and Resilience,B004-Baggage Asset Replacement, 2
Enable Punctuality and Resilience,B005-Baggage Standard 3 Hold Baggage Screening, 1
Enable Punctuality and Resilience,B006-Improved Baggage Capacity and Resilience, 2
Enable Punctuality and Resilience,B011-Enabling Wide Body Aircraft - Airfield, 4
Enable Punctuality and Resilience,B017-T4 Infrastructure, 4
Enable Punctuality and Resilience,B020-Commercial IT and Telecoms, 1
Enable Punctuality and Resilience,B027-Surface Water Management Infrastructure, 1
Enable Punctuality and Resilience,B028-Metering & Energy Demand Management, 1
Enable Punctuality and Resilience,B029-Automation of the Passenger Journey, 2
Enable Punctuality and Resilience,B033-Additional Fuel Infrastructure, 4
Enable Punctuality and Resilience,B034-PCA Additional Infrastructure, 1
Enable Punctuality and Resilience,B037-Airline Moves, 2
Enable Punctuality and Resilience,B038-Ops Effciency & Continuous Improvement, 2
Enable Punctuality and Resilience,B043-APOC, 2
Enable Punctuality and Resilience,B047-Consolidated HAL Engineering, 2
Enable Punctuality and Resilience,B063-Baggage O & M Strategy, 2
Enable Punctuality and Resilience,B064-Back Office IT, 1
Enable Punctuality and Resilience,B066-Energy and Utilities Management Supply, 2
Enable Punctuality and Resilience,B068-Security SQR Modernisation, 2
Enable Punctuality and Resilience,B073-Air Quality - Vehicles, 1
Enable Punctuality and Resilience,B001-Engineering Asset Replacement, 4
Enable Punctuality and Resilience,B016-T3 Refurbishment and Enhancement, 2
Enable Punctuality and Resilience,B025-Premium Products & Services, 2
Enable Punctuality and Resilience,B045-Enhanced Terminal Facilities for Passengers, 1
Enable Punctuality and Resilience,B059-Visitor Centre, 1
Enable Punctuality and Resilience,B062-Cargo Centre Southside, 4
Enable Punctuality and Resilience,B065-Waste Management Infrastructure, 4
Improve Capacity Utilisation,B003-IT Asset Replacement, 4
Improve Capacity Utilisation,B005-Baggage Standard 3 Hold Baggage Screening, 1
Improve Capacity Utilisation,B006-Improved Baggage Capacity and Resilience, 2
Improve Capacity Utilisation,B009-Northern Perimeter, 2
Improve Capacity Utilisation,B011-Enabling Wide Body Aircraft - Airfield, 4
Improve Capacity Utilisation,B012-Airfield Efficiency and Resilience, 4
Improve Capacity Utilisation,B014-Wayfinding, 4
Improve Capacity Utilisation,B015-Operational Systems Critical Asset Rep (OSCAR), 1
Improve Capacity Utilisation,B023-eBusiness Development for Heathrow, 2
Improve Capacity Utilisation,B026-Security Fixed Post Modernisation, 4
Improve Capacity Utilisation,B027-Surface Water Management Infrastructure, 4
Improve Capacity Utilisation,B028-Metering & Energy Demand Management, 4
Improve Capacity Utilisation,B029-Automation of the Passenger Journey, 4
Improve Capacity Utilisation,B030-T1 Closure, 4
Improve Capacity Utilisation,B037-Airline Moves, 4
Improve Capacity Utilisation,B038-Ops Effciency & Continuous Improvement, 4
Improve Capacity Utilisation,B043-APOC, 2
Improve Capacity Utilisation,B047-Consolidated HAL Engineering, 2
Improve Capacity Utilisation,B058-Innovation, Research and Trials, 1
Improve Capacity Utilisation,B062-Cargo Centre Southside, 4
Improve Capacity Utilisation,B063-Baggage O & M Strategy, 1
Improve Capacity Utilisation,B064-Back Office IT, 4
Improve Capacity Utilisation,B065-Waste Management Infrastructure, 1
Improve Capacity Utilisation,B067-Air Traffic Services, 4
Improve Capacity Utilisation,B068-Security SQR Modernisation, 4
Improve Capacity Utilisation,B069-Asset Management, 4
Imp Connections &  Baggage,B008-Crossrail (Contribution), 4
Imp Connections &  Baggage,B011-Enabling Wide Body Aircraft - Airfield, 8
Imp Connections &  Baggage,B012-Airfield Efficiency and Resilience, 4
Imp Connections &  Baggage,B014-Wayfinding, 3
Imp Connections &  Baggage,B015-Operational Systems Critical Asset Rep (OSCAR), 3
Imp Connections &  Baggage,B017-T4 Infrastructure, 8
Imp Connections &  Baggage,B029-Automation of the Passenger Journey, 4
Imp Connections &  Baggage,B037-Airline Moves, 4
Imp Connections &  Baggage,B043-APOC, 3
Imp Connections &  Baggage,B062-Cargo Centre Southside, 3
Imp Connections &  Baggage,B067-Air Traffic Services, 4
Imp Connections &  Baggage,B068-Security SQR Modernisation, 4
Focus on Sustainability,B001-Engineering Asset Replacement, 1
Focus on Sustainability,B002-Rail Asset Replacement, 4
Focus on Sustainability,B003-IT Asset Replacement, 4
Focus on Sustainability,B004-Baggage Asset Replacement, 2
Focus on Sustainability,B005-Baggage Standard 3 Hold Baggage Screening, 2
Focus on Sustainability,B008-Crossrail (Contribution), 1
Focus on Sustainability,B011-Enabling Wide Body Aircraft - Airfield, 4
Focus on Sustainability,B012-Airfield Efficiency and Resilience, 4
Focus on Sustainability,B014-Wayfinding, 2
Focus on Sustainability,B015-Operational Systems Critical Asset Rep (OSCAR), 2
Focus on Sustainability,B016-T3 Refurbishment and Enhancement, 2
Focus on Sustainability,B017-T4 Infrastructure, 2
Focus on Sustainability,B018-T5 Security Capacity, 2
Focus on Sustainability,B029-Automation of the Passenger Journey, 2
Focus on Sustainability,B030-T1 Closure, 4
Focus on Sustainability,B037-Airline Moves, 4
Focus on Sustainability,B043-APOC, 1
Focus on Sustainability,B047-Consolidated HAL Engineering, 2
Focus on Sustainability,B056-Surface Access, 1
Focus on Sustainability,B058-Innovation, Research and Trials, 1
Focus on Sustainability,B063-Baggage O & M Strategy, 4
Focus on Sustainability,B067-Air Traffic Services, 4
Focus on Sustainability,B068-Security SQR Modernisation, 4
Focus on Sustainability,B069-Asset Management, 2
Focus on Sustainability,B073-Air Quality - Vehicles, 1
Increase Non Aeronautical Rev,B001-Engineering Asset Replacement, 1
Increase Non Aeronautical Rev,B002-Rail Asset Replacement, 2
Increase Non Aeronautical Rev,B004-Baggage Asset Replacement, 1
Increase Non Aeronautical Rev,B005-Baggage Standard 3 Hold Baggage Screening, 1
Increase Non Aeronautical Rev,B008-Crossrail (Contribution), 2
Increase Non Aeronautical Rev,B011-Enabling Wide Body Aircraft - Airfield, 4
Increase Non Aeronautical Rev,B012-Airfield Efficiency and Resilience, 2
Increase Non Aeronautical Rev,B014-Wayfinding, 2
Increase Non Aeronautical Rev,B017-T4 Infrastructure, 2
Increase Non Aeronautical Rev,B027-Surface Water Management Infrastructure, 4
Increase Non Aeronautical Rev,B028-Metering & Energy Demand Management, 2
Increase Non Aeronautical Rev,B033-Additional Fuel Infrastructure, 2
Increase Non Aeronautical Rev,B034-PCA Additional Infrastructure, 4
Increase Non Aeronautical Rev,B039-Noise Compliance, 4
Increase Non Aeronautical Rev,B058-Innovation, Research and Trials, 2
Increase Non Aeronautical Rev,B062-Cargo Centre Southside, 2
Increase Non Aeronautical Rev,B065-Waste Management Infrastructure, 4
Increase Non Aeronautical Rev,B066-Energy and Utilities Management Supply, 4
Increase Non Aeronautical Rev,B073-Air Quality - Vehicles, 2
Retire Old Facilities,B003-IT Asset Replacement, 3
Retire Old Facilities,B008-Crossrail (Contribution), -3
Retire Old Facilities,B009-Northern Perimeter, 8
Retire Old Facilities,B012-Airfield Efficiency and Resilience, 3
Retire Old Facilities,B017-T4 Infrastructure, 8
Retire Old Facilities,B018-T5 Security Capacity, -3
Retire Old Facilities,B020-Commercial IT and Telecoms, 8
Retire Old Facilities,B022-T5 Concessions, 8
Retire Old Facilities,B023-eBusiness Development for Heathrow, 8
Retire Old Facilities,B024-Commercial Advertising, 8
Retire Old Facilities,B025-Premium Products & Services, 4
Retire Old Facilities,B027-Surface Water Management Infrastructure, 4
Retire Old Facilities,B030-T1 Closure, 3
Retire Old Facilities,B033-Additional Fuel Infrastructure, 8
Retire Old Facilities,B034-PCA Additional Infrastructure, 4
Retire Old Facilities,B036-VIP Strategy - Commercial & Facility, 3
Retire Old Facilities,B037-Airline Moves, 3
Retire Old Facilities,B041-Commercial BAU Fund, 4
Retire Old Facilities,B044-Commercial Systems Replacement & Upgrades, 8
Retire Old Facilities,B045-Enhanced Terminal Facilities for Passengers, 8
Retire Old Facilities,B047-Consolidated HAL Engineering, 3
Retire Old Facilities,B058-Innovation, Research and Trials, 3
Retire Old Facilities,B063-Baggage O & M Strategy, 8
Retire Old Facilities,B065-Waste Management Infrastructure, 8
Retire Old Facilities,B072-CTA Surface Access Phase 2, 3
Retire Old Facilities,B073-Air Quality - Vehicles, 4
Inc Airport Op Efficiencies,B008-Crossrail (Contribution), -3
Inc Airport Op Efficiencies,B015-Operational Systems Critical Asset Rep (OSCAR), 3
Inc Airport Op Efficiencies,B026-Security Fixed Post Modernisation, 8
Inc Airport Op Efficiencies,B030-T1 Closure, 8
Inc Airport Op Efficiencies,B043-APOC, 8
Inc Airport Op Efficiencies,B047-Consolidated HAL Engineering, -3
Inc Airport Op Efficiencies,B066-Energy and Utilities Management Supply, 8
Support Reduction in Airline Costs,B001-Engineering Asset Replacement, -3
Support Reduction in Airline Costs,B003-IT Asset Replacement, -3
Support Reduction in Airline Costs,B005-Baggage Standard 3 Hold Baggage Screening, -3
Support Reduction in Airline Costs,B008-Crossrail (Contribution), -3
Support Reduction in Airline Costs,B009-Northern Perimeter, -3
Support Reduction in Airline Costs,B011-Enabling Wide Body Aircraft - Airfield, 8
Support Reduction in Airline Costs,B012-Airfield Efficiency and Resilience, -3
Support Reduction in Airline Costs,B014-Wayfinding, 3
Support Reduction in Airline Costs,B016-T3 Refurbishment and Enhancement, -3
Support Reduction in Airline Costs,B017-T4 Infrastructure, -3
Support Reduction in Airline Costs,B018-T5 Security Capacity, 8
Support Reduction in Airline Costs,B020-Commercial IT and Telecoms, -3
Support Reduction in Airline Costs,B022-T5 Concessions, 3
Support Reduction in Airline Costs,B023-eBusiness Development for Heathrow, 8
Support Reduction in Airline Costs,B024-Commercial Advertising, -3
Support Reduction in Airline Costs,B025-Premium Products & Services, -3
Support Reduction in Airline Costs,B026-Security Fixed Post Modernisation, 8
Support Reduction in Airline Costs,B027-Surface Water Management Infrastructure, -3
Support Reduction in Airline Costs,B028-Metering & Energy Demand Management, 8
Support Reduction in Airline Costs,B029-Automation of the Passenger Journey, -3
Support Reduction in Airline Costs,B030-T1 Closure, 8
Support Reduction in Airline Costs,B034-PCA Additional Infrastructure, -3
Support Reduction in Airline Costs,B036-VIP Strategy - Commercial & Facility, -3
Support Reduction in Airline Costs,B038-Ops Effciency & Continuous Improvement, 8
Support Reduction in Airline Costs,B039-Noise Compliance, 4
Support Reduction in Airline Costs,B041-Commercial BAU Fund, -3
Support Reduction in Airline Costs,B043-APOC, 8
Support Reduction in Airline Costs,B044-Commercial Systems Replacement & Upgrades, -3
Support Reduction in Airline Costs,B045-Enhanced Terminal Facilities for Passengers, 8
Support Reduction in Airline Costs,B047-Consolidated HAL Engineering, -3
Support Reduction in Airline Costs,B058-Innovation, Research and Trials, 3
Support Reduction in Airline Costs,B059-Visitor Centre, -3
Support Reduction in Airline Costs,B062-Cargo Centre Southside, 8
Support Reduction in Airline Costs,B063-Baggage O & M Strategy, 8
Support Reduction in Airline Costs,B064-Back Office IT, -3
Support Reduction in Airline Costs,B065-Waste Management Infrastructure, 8
Support Reduction in Airline Costs,B066-Energy and Utilities Management Supply, 8
Support Reduction in Airline Costs,B069-Asset Management, -3
Support Reduction in Airline Costs,B073-Air Quality - Vehicles, 8
Asset Rep,B004-Baggage Asset Replacement, -1
Asset Rep,B005-Baggage Standard 3 Hold Baggage Screening, 1
Asset Rep,B006-Improved Baggage Capacity and Resilience, -1
Asset Rep,B008-Crossrail (Contribution), -1
Asset Rep,B011-Enabling Wide Body Aircraft - Airfield, 4
Asset Rep,B012-Airfield Efficiency and Resilience, 4
Asset Rep,B014-Wayfinding, 1
Asset Rep,B020-Commercial IT and Telecoms, 1
Asset Rep,B023-eBusiness Development for Heathrow, 4
Asset Rep,B025-Premium Products & Services, 1
Asset Rep,B027-Surface Water Management Infrastructure, -1
Asset Rep,B028-Metering & Energy Demand Management, 4
Asset Rep,B029-Automation of the Passenger Journey, 4
Asset Rep,B033-Additional Fuel Infrastructure, -1
Asset Rep,B034-PCA Additional Infrastructure, 2
Asset Rep,B037-Airline Moves, 1
Asset Rep,B043-APOC, 2
Asset Rep,B045-Enhanced Terminal Facilities for Passengers, 2
Asset Rep,B058-Innovation, Research and Trials, 1
Asset Rep,B062-Cargo Centre Southside, 4
Asset Rep,B065-Waste Management Infrastructure, 4
Asset Rep,B073-Air Quality - Vehicles, 4
ARC, 1
